station_code,station_name
M11/1,拱形马路/莲峰庙
M22/1,青洲/圣德兰学校
M24/1,青洲/圣若瑟中学
M43/1,螺丝山公园
M45/1,荷兰园/柏蕙
M51/1,东北大马路/广华
M52/1,渔翁街/劳工事务局
M53/1,水塘北角/劳工事务局
M54/1,电力公司
M59/1,荷兰花园
M86/1,渡船街/俾利喇街
M87/1,连胜马路
M88/1,高士德/贾伯乐
M92/1,俾利喇/高士德
M99/1,高士德/红街市
M101/1,幸运阁
M106/1,雅廉访/圣心
M110/1,渡船街/妇联
M113/1,提督/红街市
M122/1,新胜街
M123/1,东南小学
M125/1,柏港停车场
M127/1,海边新街
M140/1,河边新街/李道巷
M147/1,山顶医院总站
M154/1,友谊马路/海景花园
M155/1,东方拱门
M156/1,高美士/南园大厦
M163/1,贾罗布/葡京
M174/1,海事及水务局
M178/1,立法会前地
M181/1,烧灰炉
M192/1,民国马路
M193/1,民国马路/西湾湖
M194/1,西湾
M195/1,西湾/大兴大厦
M203/1,妈阁庙站
M219/1,劳动节大马路
M222/1,看台街
M228/1,祐汉第二街
M233/1,东北大马路/东华
M234/1,东北大马路/海滨
M235/1,东北大马路/保利达
M237/1,社会工作局
M252/1,新口岸/科英布拉街
M254/1,友谊马路/行车天桥
T309/1,泉亮花园
T319/1,嘉模泳池
T320/1,氹仔官也街
T323/1,黑桥/地堡街
T336/1,海洋花园瞭望台
T337/1,氹仔海滨花园
T350/1,广东大马路/马会
T368/1,奥林匹克大马路
C651/1,路环小型赛车场
C656/1,路环警察训练营-2
C663/1,竹湾泳池-2
C664/1,竹湾泳池-1
C675/1,竹湾豪园-2
C676/1,竹湾豪园-1
C677/1,竹湾烧烤公园-1
C678/1,竹湾烧烤公园-2
M205/1,跨境工业区
M266/1,澳门科学馆
M267/1,工业园街
T304/1,氹仔大中华广场
M268/1,城市日前地
M91/1,高士德/亚利鸦架街
T358/1,伟龙/科大医院
M245/1,镜湖医院
M83/1,贾伯乐/培正
M77/1,罗利老马路
M61/1,二龙喉公园
M40/1,福海花园
T409/1,湖畔公园
M188/1,河边新街/下环
T414/1,永进马路/美狮美高梅
M38/1,望贤楼
T421/1,皇庭海景酒店
T424/1,海滨圆形地/生态保护区
C695/1,九澳水库郊野公园-1
M206/2,黑沙环新街/建华
T550/1,澳门大学总站
T555/2,澳大/综合体育馆
M48/1,慕拉士/飞通大厦
M229/1,三角花园
M16/2,提督马路/雅廉访
M16/1,提督马路/雅廉访
M109/1,提督/高士德
M143/1,新马路/炉石塘
M170/1,殷皇子马路
M158/1,北京街/假日酒店
M161/1,高美士/利澳
M157/1,治安警察局
M157/2,治安警察局
M173/1,约翰四世大马路
M173/2,约翰四世大马路
M171/1,中区/殷皇子马路
M171/2,中区/殷皇子马路
M142/1,金碧文娱中心
M132/1,十六浦
M114/1,沙梨头海边街
M19/1,白朗古将军马路
M10/1,台山街市
M10/2,台山街市
M8/2,巴波沙大马路
M8/1,巴波沙大马路
M225/1,看台街/骑士马路
M69/1,葡京酒店
M69/2,葡京酒店
M254/2,友谊马路/行车天桥
M222/2,看台街
M220/2,祐汉街市
M220/1,祐汉街市
M219/2,劳动节大马路
M61/2,二龙喉公园
M73/2,得胜花园
M270/1,塔石体育馆
M270/2,塔石体育馆
M153/2,水坑尾/公共行政大楼
M153/1,水坑尾/公共行政大楼
M168/1,八角亭
M199/1,南湾湖景大马路
M177/1,澳门旅游塔
M182/1,旅游塔/行车隧道
M187/1,区华利前地
M180/1,风顺堂街
M191/1,亚婆井前地
M190/1,河边新街/妈阁
M139/1,司打口
M139/2,司打口
M136/1,粤通码头
M136/2,粤通码头
M141/1,营地大街
M133/1,草堆街
M131/1,十月初五街
M200/1,沙栏仔
M124/1,白鸽巢总站
M201/1,白鸽巢前地
M272/1,愉景花园
M104/1,观音堂
M46/1,鲍思高球场
M226/1,劳动节街/中葡职业技术学校
M236/1,黑沙环中街/黑沙环卫生中心
M13/2,李宝椿街
M26/1,筷子基总站
M26/4,筷子基总站
M28/1,黑沙环马路
M28/2,黑沙环马路
M76/1,卢廉若公园
M76/2,卢廉若公园
M203/2,妈阁庙站
T324/1,澳门运动场
T324/2,澳门运动场
T330/1,苏利安圆形地
T330/2,苏利安圆形地
T330/3,苏利安圆形地
T335/2,海洋广场
T335/1,海洋广场
T336/2,海洋花园瞭望台
T339/2,花城公园
T550/2,澳门大学总站
T550/3,澳门大学总站
T550/4,澳门大学总站
T408/1,湖畔大厦
T408/2,湖畔大厦
T408/5,湖畔大厦
T408/6,湖畔大厦
T408/8,湖畔大厦
T408/9,湖畔大厦
T408/10,湖畔大厦
M121/1,连胜/镜湖医院
M261/1,约翰四世大马路/马统领街
M31/1,白朗古/跑狗场
M29/1,慕拉士马路
M250/1,新口岸/柏嘉街
M243/1,何贤公园
M30/1,黑沙环第五街
M214/2,永宁广场总站
M224/1,永康街/丽华
M167/1,南湾大马路/时代
M244/1,中心街
M216/1,马场东大马路
M265/1,渔人码头会展中心
M259/1,孙逸仙大马路/金沙
M257/1,新口岸/文化中心
M251/1,捐血中心
M263/1,仙德丽街
M138/1,司打口总站
M159/1,总统酒店
M262/1,城市日大马路/波尔图街
M255/1,马六甲街
M242/1,友谊马路/海港街
M62/1,回力
M62/2,回力
M64/1,黑沙环新街/南华
M14/1,莲峰游泳池
M97/1,雅廉访/俾利喇
M90/1,雅廉花园
M271/1,市政狗房
M105/1,望厦炮台
M66/1,水塘马路
M117/1,罗理基/马六甲街
M84/1,高士德/培正
M96/1,连胜马路/高士德
M94/1,沙梨头南街/兰花前地
M95/2,沙梨头北街/筷子基北湾
M162/1,中华广场
M165/1,加思栏花园
M151/1,山顶医院急诊大楼
M148/1,东望洋斜巷
M145/1,愕斜巷/山顶医院
M197/1,半边橙/迅发花园
M196/1,半边橙
M175/1,濠璟酒店
M179/1,巴掌围
M68/1,葡京路
M39/1,澳广视
M116/1,亚利鸦架街
M81/1,归侨总会
M82/1,贾伯乐/沙嘉都喇
M78/1,沙嘉都喇街
M75/1,高美士中葡中学
M72/1,陈瑞祺中学
M149/1,粤华中学
M230/1,高利亚海军上将/政府综合服务大楼
M215/1,福泰工业大厦
M50/1,劳动节大马路/广华
M209/1,青洲总站
M209/2,青洲总站
M211/1,青洲/鸭涌河
M5/1,街总社区服务大楼
M25/1,青洲/自来水公司
M107/1,圣心学校
M119/1,永乐戏院
M85/1,罗利老/得胜花园
M166/1,西坑街
M27/1,关闸马路/三角花园
T351/1,布拉干萨街
T352/1,广东大马路/濠景
T346/1,广东大马路/鸿发
T402/1,泉澧花园
T318/1,泉悦花园
T325/3,华宝花园
T341/1,圣公会中学
T305/1,城市大学
T403/1,史伯泰/丽景湾
T300/1,史伯泰/卢廉若
T307/1,宋玉生博士圆形地
T321/1,氹仔中葡小学
T303/1,旅游学院氹仔校区
T334/1,海洋花园/紫荆苑
T313/1,氹仔茵景园
T314/2,信虹花园
T315/1,氹仔CEM货仓
T373/1,伟龙/科技大学
T367/1,望德圣母湾马路/连贯公路
T366/1,望德圣母湾马路/红树林
T392/1,霍英东马路/新濠天地
T375/1,连贯公路/新濠天地
C655/1,石排湾郊野公园
C657/1,路环警察训练营-1
C662/1,路环监狱-1
C661/1,路环监狱-2
C665/1,竹湾马路-2
C668/1,竹湾海滩-2
C667/1,竹湾海滩-1
C694/1,黑沙村-2
C693/1,黑沙村-1
C681/1,黑沙水库-1
C679/1,黑沙水库-2
C670/1,鹭环海天酒店-2
C671/1,鹭环海天酒店-1
C672/1,九澳村
T559/1,大学南
T551/1,澳大/研究生宿舍
T552/1,澳大/中央教学楼
T558/1,大学大马路
T553/1,澳大/大学展馆
T554/1,澳大/大学会堂
T557/1,大学北
T556/1,澳大/行政楼
T425/1,海滨圆形地/西堤马路
T394/1,新城大马路/威尼斯人
T395/1,新城大马路/银河
T389/1,澳门东亚运动会体育馆
T386/1,莲花路/莲花圆形地-2
T404/1,驾驶学习暨考试中心
T406/1,机场圆形地/伟龙
T356/1,澳门机场
T344/1,机场仓库
T428/1,聚龙明珠/荣苑
T302/1,卢廉若/葡京花园
T301/1,卢廉若/菩提园
T412/1,氹仔中央公园/成都街
T413/1,氹仔中央公园/哥英布拉街
C692/1,乐居大马路/乐群楼
C691/1,乐居大马路/居雅大厦
C652/1,安顺大厦
T308/1,氹仔电讯
M274/1,筷子基卫生中心
M170/2,殷皇子马路
M145/2,愕斜巷/山顶医院
M183/2,河边新街/凯泉湾
M186/2,河边新街/货仓巷
M128/1,林茂/澳门游艇会
M111/1,昌明花园
M112/1,沙梨头/华宝工业大厦
T430/1,海洋花园/玫瑰苑
C682/1,和谐圆形地
C683/1,重型车辆驾考中心
M126/1,林茂/信誉湾畔
M184/1,河边新街/街市
M98/1,高士德/连胜
T338/1,海洋花园卫生中心
T322/1,信安马路
M135/2,新马路/大丰
M146/1,水坑尾/方圆广场
M152/1,塔石广场
C696/1,九澳水库郊野公园-2
C688/1,和谐广场/业兴大厦
C689/1,和谐广场/乐群楼
M93/1,海擎天总站
T432/1,日升楼
T369/1,基马拉斯/氹仔中央公园
T370/1,基马拉斯/濠珀
T310/1,泉裕豪庭
T311/1,百利宝花园
T407/1,霍英东马路/永利皇宫
M281/1,祐汉第一街
M246/1,永华街
T378/1,路氹城马路/新濠影汇
T377/1,路氹城马路/巴黎人
M9/1,关闸广场
M102/1,船澳街
M232/1,劳动节街/裕华
M227/1,长寿大马路/胜意楼
M55/1,东北大马路/南澳
T440/1,松树尾总站
T331/1,美景花园
C660/1,路环居民大会堂
C686/1,路环市区
C659/1,路环街市
T345/1,氹仔客运码头
T345/2,氹仔客运码头
T345/5,氹仔客运码头
T345/6,氹仔客运码头
T345/8,氹仔客运码头
C687/1,海兰花园/黑沙
C680/1,海兰花园/兰苑
M208/1,青翠花园
M214/1,永宁广场总站
T342/1,高励雅马路
T343/1,海湾花园/海城阁
C697/1,九澳高顶烧烤公园
C698/1,九澳高顶马路
M15/1,台山中街
M283/1,马场大马路
M282/1,永定街
M204/1,河边新街/丰顺新邨
M264/1,励庭海景酒店
T356/2,澳门机场
T356/3,澳门机场
M276/1,马场海边马路
M18/7,牧场街总站
M18/10,牧场街总站
M239/1,外港码头
M239/2,外港码头
M239/3,外港码头
M239/4,外港码头
M176/1,初级法院刑事大楼
M284/1,华大新村
T411/1,金皇冠中国大酒店
T361/1,运动场/赛马会
T365/2,排角/银河
M247/1,海上居
M46/2,鲍思高球场
M800/8,港珠澳大桥边检大楼
T316/1,北安大马路/新城区
T317/1,北安大马路/和睦街
T415/1,路氹新城
T353/1,广东大马路/濠尚
T359/1,莲花圆形地
M1/2,关闸总站
M1/4,关闸总站
M1/5,关闸总站
M1/6,关闸总站
M1/9,关闸总站
M1/11,关闸总站
M1/12,关闸总站
M1/13,关闸总站
M1/14,关闸总站
M1/16,关闸总站
M1/18,关闸总站
M26/2,筷子基总站
M26/3,筷子基总站
M47/2,新雅马路/母亲会
M62/3,回力
M13/1,李宝椿街
M36/1,慕拉士巷
M36/2,慕拉士巷
M63/1,纪念孙中山公园
M73/1,得胜花园
M84/2,高士德/培正
M95/3,沙梨头北街/筷子基北湾
M103/1,圣方济各老人院
M130/1,林茂/运顺新邨
M132/2,十六浦
M135/1,新马路/大丰
M140/2,河边新街/李道巷
M158/2,北京街/假日酒店
M164/1,加思栏马路
M207/1,马场北大马路
M183/1,河边新街/凯泉湾
M231/1,马场东大马路/黑沙环卫生中心
M800/7,港珠澳大桥边检大楼
T308/3,氹仔电讯
T306/2,氹仔嘉乐庇马路
T310/2,泉裕豪庭
T311/2,百利宝花园
T339/4,花城公园
T314/1,信虹花园
T360/1,连贯公路/新濠影汇
T325/2,华宝花园
T376/1,连贯公路/巴黎人
T376/2,连贯公路/巴黎人
T374/1,澳门土木工程实验室
T422/1,莲花海滨大马路/银河-2
T423/1,莲花海滨大马路/百老汇
T431/1,西湾大桥/海洋大马路
T551/2,澳大/研究生宿舍
C653/2,金峰南岸/金誉峰
C673/1,九澳圣若瑟学校
C674/1,九澳油库
M18/1,牧场街总站
M18/3,牧场街总站
M18/5,牧场街总站
C685/1,圣路济亚中心
C690/2,蝴蝶谷大马路总站
C690/3,蝴蝶谷大马路总站
C690/4,蝴蝶谷大马路总站
C690/5,蝴蝶谷大马路总站
C690/6,蝴蝶谷大马路总站
C690/1,蝴蝶谷大马路总站
T327/1,赛马会
T306/1,氹仔嘉乐庇马路
T332/1,南新花园
T332/2,南新花园
T345/3,氹仔客运码头
T345/4,氹仔客运码头
M214/3,永宁广场总站
M182/2,旅游塔/行车隧道
T328/1,东亚运马路/罗斯福
C658/1,九澳七苦圣母小堂
C689/2,和谐广场/乐群楼
C688/2,和谐广场/业兴大厦
T429/1,机场大马路/科大医院
T417/1,科大/机场货运站
M12/1,北区警司处
M129/1,沙梨头街市
M241/1,金莲花广场
M160/1,十月一号前地
M160/2,十月一号前地
M150/1,得胜斜路
T347/1,运动场/体育中心
T399/1,路氹东/永利皇宫
T400/1,路氹东/新濠天地
T387/1,东亚运/保龄球中心
M20/2,青洲坊总站
M20/3,青洲坊总站
M20/5,青洲坊总站
M20/6,青洲坊总站
M285/1,台山平民大厦
M4/1,郑观应公立学校
M4/2,郑观应公立学校
M210/1,青洲/美乐花园
M21/1,青洲/嘉应花园
T326/1,柯维纳马路
T326/2,柯维纳马路
T326/3,柯维纳马路
T326/4,柯维纳马路
T326/5,柯维纳马路
M137/1,内港客运码头
M144/1,水坑尾/天神巷
M144/2,水坑尾/天神巷
M144/3,水坑尾/天神巷
M100/1,水坑尾/高可宁大宅
T391/1,霍英东马路/科技大学
T385/1,莲花路/莲花圆形地-1
M172/1,亚马喇前地
M172/2,亚马喇前地
M172/3,亚马喇前地
M172/4,亚马喇前地
M172/5,亚马喇前地
M172/6,亚马喇前地
M172/7,亚马喇前地
M172/8,亚马喇前地
M172/10,亚马喇前地
M172/11,亚马喇前地
M172/12,亚马喇前地
M172/13,亚马喇前地
M172/14,亚马喇前地
M172/15,亚马喇前地
M172/16,亚马喇前地
M172/9,亚马喇前地
M172/17,亚马喇前地
C650/1,石排湾马路/擎天汇
T420/1,莲花海滨大马路/银河-1
T355/2,莲花路停车场
T372/1,莲花路/新濠影汇
T426/1,澳大河隧/高尔夫俱乐部
T427/1,澳大河隧/西堤马路
T401/1,鸡颈马路/孝思-1
T410/1,鸡颈马路/孝思-2
T419/1,机场大马路/永利皇宫
T418/1,机场大马路/轻轨车厂
T433/1,机场大马路/航空圆形地
M120/2,筷子基街/广大中学
M21/2,青洲/嘉应花园
M7/1,关闸马路
M7/2,关闸马路
M7/3,关闸马路
M273/1,青茂/青葱大厦
M6/1,青茂/鸭涌河变电站
M65/1,青茂/青洲坊
M60/1,青茂/何贤绅士马路
M67/1,青茂口岸
T355/1,莲花路停车场
T373/2,伟龙/科技大学
M33/1,俾利喇/望德楼
M238/1,黑沙环海边马路
M32/2,望厦总站
M32/4,望厦总站
T435/1,溜冰路/葡京人
T365/1,排角/银河
M248/1,关闸东侧上落客区
M137/2,内港客运码头
M35/1,慕拉士马路/望善楼
M35/2,慕拉士马路/望善楼
M253/1,宋玉生广场/建兴龙
M189/1,下环街市
M258/1,宋玉生广场/东南亚
T348/1,路环发电厂
T436/1,溜冰路/东亚运体育馆
T434/1,机场大马路/上葡京
T349/1,路环电厂圆形地
T364/1,望德圣母湾马路/军营
T364/2,望德圣母湾马路/军营
T397/1,路氹西/银河
T380/1,连贯公路/伦敦人
T379/1,连贯公路/巴黎人花园
T388/1,东亚运/巴黎人花园
M213/1,俾若翰街/快富楼
M108/1,俾若翰街/绿杨花园
M108/3,俾若翰街/绿杨花园
M70/1,澳门理工大学
M71/1,厦门街/澳门理工大学
C666/1,竹湾马路-1
C700/1,澳门镜湖护理学院
T384/1,莲花路/体育馆马路
M2/1,东方明珠总站
T363/1,连贯公路/威尼斯人
T363/2,连贯公路/威尼斯人
M3/1,妈阁交通枢纽
M3/2,妈阁交通枢纽
M3/3,妈阁交通枢纽
M3/4,妈阁交通枢纽
M198/1,西湾湖景大马路/妈阁码头
M198/2,西湾湖景大马路/妈阁码头
C669/1,黑沙海滩
C669/2,黑沙海滩
C654/1,联生圆形地总站
C654/2,联生圆形地总站
C654/3,联生圆形地总站
M118/1,高美士/马六甲街停车场
T396/1,路氹西/金光会展
M235/2,东北大马路/保利达
M134(於2023年7月3日首班車重新命名)/1,新马路/永亨
M134/1,新马路/华侨
M202/1,南光大厦
T560/1,横琴澳方口岸
T560/2,横琴澳方口岸
T560/4,横琴澳方口岸
T560/5,横琴澳方口岸
T560/7,横琴澳方口岸
